Geothermal energy, total end-use consumption.                                   Billion Btu
    StateCode                 Base         FactorChange                  New  BaseProportionOfTotal  NewProportionOfTotal  ChangeCompositionOfProportion        BasePerCapita         NewPerCapita      ChangePerCapita  PercChangePerCapita
0         AL               13.000               10.846              141.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              804.963
1         AR              108.000                7.481              808.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              460.604
2         AZ              236.000                1.462              345.000                  0.000                 0.001                          0.001                0.000                0.000               -0.000              -21.010
3         CA            1,097.000                1.950            2,139.000                  0.000                 0.000                         -0.000                0.000                0.001                0.000               54.326
4         CO              405.000                1.874              759.000                  0.000                 0.000                          0.000                0.000                0.000                0.000               43.989
5         CT                0.000                  inf               21.000                  0.000                 0.001                          0.000                0.000                0.000                0.000                  inf
6         DE               55.000                7.818              430.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              617.921
7         FL            1,288.000                7.807           10,056.000                  0.000                 0.002                          0.001                0.002                0.011                0.009              454.131
8         GA               40.000                7.875              315.000                  0.000                 0.002                          0.002                0.000                0.000                0.000              406.964
9         HI                0.000                  inf                8.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
10        IA               63.000               20.333            1,281.000                  0.000                 0.000                          0.000                0.000                0.001                0.001            1,488.140
11        ID              536.000                2.802            1,502.000                  0.000                 0.001                          0.001                0.001                0.001                0.000               71.559
12        IL              270.000                7.563            2,042.000                  0.001                 0.003                          0.002                0.000                0.000                0.000              574.652
13        IN              502.000                9.257            4,647.000                  0.000                 0.001                          0.000                0.000                0.001                0.001              678.017
14        KS               43.000               22.651              974.000                  0.000                 0.002                          0.001                0.000                0.000                0.000            1,917.709
15        KY              237.000               11.443            2,712.000                  0.000                 0.001                          0.001                0.000                0.001                0.001              876.614
16        LA              121.000               15.223            1,842.000                  0.000                 0.002                          0.001                0.000                0.000                0.000            1,170.831
17        MA               20.000               42.950              859.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            3,783.806
18        MD               72.000                7.917              570.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              633.885
19        ME                0.000                  inf               72.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
20        MI              579.000                8.969            5,193.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              696.282
21        MN              145.000                7.414            1,075.000                  0.000                 0.002                          0.002                0.000                0.000                0.000              596.006
22        MO               45.000                7.822              352.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              526.406
23        MS               25.000               38.320              958.000                  0.000                 0.000                          0.000                0.000                0.000                0.000            3,206.366
24        MT              126.000                2.675              337.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              125.774
25        NC              123.000                7.862              967.000                  0.000                 0.001                          0.000                0.000                0.001                0.001              509.441
26        ND               82.000               11.927              978.000                  0.000                 0.000                          0.000                0.000                0.001                0.000              896.211
27        NE               80.000               15.150            1,212.000                  0.000                 0.002                          0.001                0.000                0.000                0.000              541.406
28        NH                0.000                  inf               29.000                  0.000                 0.001                          0.001                0.000                0.000                0.000                  inf
29        NJ               63.000                7.397              466.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              542.659
30        NM              117.000                3.145              368.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              130.151
31        NV              789.000                1.962            1,548.000                  0.000                 0.001                          0.000                0.000                0.000                0.000               79.049
32        NY               73.000               16.233            1,185.000                  0.002                 0.002                          0.000                0.000                0.000                0.000              977.986
33        OH              347.000                9.899            3,435.000                  0.000                 0.000                          0.000                0.001                0.005                0.004              734.300
34        OK                1.000               24.000               24.000                  0.000                 0.001                          0.001                0.000                0.000                0.000            2,146.756
35        OR              392.000                3.143            1,232.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              153.311
36        PA              202.000               10.703            2,162.000                  0.000                 0.001                          0.001                0.000                0.001                0.000              660.509
37        RI                0.000                  inf               57.000                  0.000                 0.001                          0.001                0.000                0.000                0.000                  inf
38        SC               82.000                7.902              648.000                  0.000                 0.000                          0.000                0.000                0.001                0.001              652.827
39        SD              154.000               12.130            1,868.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              767.552
40        TN               26.000                8.192              213.000                  0.001                 0.005                          0.004                0.000                0.000                0.000              565.506
41        TX              236.000               10.500            2,478.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              679.181
42        US           10,200.000                6.225           63,500.000                  0.000                 0.000                          0.000                0.001                0.002                0.002              287.124
43        UT              425.000                1.901              808.000                  0.000                 0.001                          0.001                0.000                0.000                0.000               10.028
44        VA              125.000               13.608            1,701.000                  0.001                 0.001                          0.000                0.000                0.003                0.002            1,128.198
45        VT                0.000                  inf               29.000                  0.000                 0.001                          0.001                0.000                0.000                0.000                  inf
46        WA               77.000               14.753            1,136.000                  0.000                 0.000                          0.000                0.000                0.000                0.000              910.268
47        WI               79.000                7.785              615.000                  0.000                 0.001                          0.001                0.000                0.000                0.000              658.184
48        WV                0.000                  inf               32.000                  0.000                 0.000                          0.000                0.000                0.000                0.000                  inf
49        WY              649.000                1.022              663.000                  0.000                 0.000                          0.000                0.001                0.001               -0.000              -20.989
50        US           10,200.000                6.225           63,500.000                  0.002                 0.001                         -0.000                0.000                0.000                0.000              384.275
